Name,Description
3i,"3i Group plc is a British multinational private equity and venture capital company based in London, England. 3i is listed on the London Stock Exchange and is a constituent of the FTSE 100 Index."
A-Grade Investments,"A-Grade Investments, LLC is a venture capital firm founded in 2010 by actor Ashton Kutcher, entertainment manager Guy Oseary, and billionaire investor Ron Burkle to invest in technology start-up companies. The company is headquartered in Los Angeles, California."
ABS Capital Partners,"ABS Capital Partners is an American private equity firm focused on investments in software and tech-enabled services businesses across a range of industries, including FinTech, Healthcare, EdTech, eCommerce, cybersecurity, and Smart Cities. Founded in 1990, the firm is based in Washington, DC, Baltimore, and San Francisco. The company has raised approximately $2.5 billion since its inception across seven funds. ABS Capital Partners is a member of the National Venture Capital Association."
AEA Investors,"AEA Investors LP is an American middle market private equity firm.  The firm focuses on leveraged buyout, growth capital, and mezzanine capital investments in manufacturing, service, distribution, specialty chemicals, consumer product, and business services companies in the middle market.  The firm makes investments primarily in the US and Europe, and periodically invests in Asia as well.
AEA was founded in 1968 to make investments on behalf of S.G. Warburg & Co. as well as the Rockefeller, Mellon, and Harriman families. AEA was formally founded as American European Associates.
AEA is headquartered in New York City with offices in Stamford, Connecticut, London, Munich, and Shanghai. From 1998 until 2011, the firm was chaired by Vincent Mai. John Garcia is the current CEO and Chairman."
APriori Capital Partners,"aPriori Capital Partners  is a private equity investment firm focused on leveraged buyout transactions. The firm was founded as an affiliate of Credit Suisse and traces its roots to Donaldson, Lufkin & Jenrette, the investment bank acquired by Credit Suisse First Boston in 2000. 
The private equity arm also manages a group of investment vehicles including Real Estate Private Equity, International Private Equity, Growth capital, Mezzanine debt, Infrastructure, Energy and Commodities Focused, fund of funds, and Secondary Investments.
aPriori has offices in New York, London, Los Angeles, and Detroit."
Accel (company),"Accel, formerly known as Accel Partners, is a global venture capital firm. Accel works with startups in seed, early and growth-stage investments. The company has offices in Palo Alto, California and San Francisco, California, with additional operating funds in London, and India."
Actis Capital,"Actis LLP is a global investment firm focused on sustainable infrastructure, in particular the energy, infrastructure, and real estate asset classes.
It is focused on investments in emerging markets in India, Latin America, South East Asia, the Middle East, Central and Eastern Europe, Africa and China.
Actis was formed in July 2004, as a spinout of CDC Group plc (formerly the Commonwealth Development Corporation), an organization established by the UK Government in 1948 to invest in developing economies in Africa, Asia, and the Caribbean. The Actis management team acquired majority ownership of CDC's emerging markets investment platform.
The firm was acquired by General Atlantic in 2024."
Adams Street Partners,"Adams Street Partners, LLC (ASP) is an American private equity firm headquartered in Chicago. The majority of the firm's assets are in fund of funds strategies. In 2020, Preqin ranked the firm as the ninth-largest fund of funds globally with $40 billion in assets under management.
Outside the U.S., the firm has offices in Europe and Asia-Pacific.
In June 2024, Adams Street Partners ranked 42nd in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Advent International,"Advent International Corporation is an American global private equity firm. It is focused on buyouts of companies in Western and Central Europe, North America, Latin America and Asia. The firm focuses on international buyouts, growth and strategic restructuring in five core sectors.
Since its inception in 1984, Advent has invested $56 billion in private equity capital. Through its buyout programs, it has completed more than 375 transactions in 42 countries.
Advent operates from 14 offices in 11 countries, with affiliates in additional countries, employs over 240 investment professionals, and has around $92 billion in assets under management as of 2023.
In June 2024, Advent ranked 8th among the world's largest private equity firms, with approximately $53 billion in Private Equity International's PEI 300 rankings."
Affinity Partners,"Affinity Partners is an American investment firm, based in Miami, Florida. It was formed in 2021 by Jared Kushner, Donald Trump's son-in-law, who also served as a senior advisor during Trump's first presidency. The firm has a focus on investing in American and Israeli companies. Its sources of funding are overwhelmingly from the Saudi Arabian government.
Kushner's firm received commitments of more than $3 billion by the end of 2021 to invest in American and Israeli companies that are expanding in India, Africa, the Middle East and other parts of Asia. The largest investor by some margin is the Saudi government's sovereign wealth fund, the Public Investment Fund, which has allocated $2bn of its nearly with Kushner stating that he hopes to open an ""investment corridor between Saudi Arabia and Israel"", seen internationally as a ""sign of warming ties between two historic rivals"". Officials who headed the Public Investment Fund objected to investing in Kushner's firm, but Saudi ruler Mohammed bin Salman overruled those officials.
The firm has a staff of approximately 20 people. By 2024, the firm had returned no profits to its investors."
